title,subtitle,link
FALLING FOUL OF REF,Prem's dirtiest stars revealed with England ace top ahead of Udogie,https://www.thesun.co.uk/sport/24762139/premier-league-conor-gallagher-destiny-udogie/
ITALIAN JOB,AC Milan icon Maldini 'lined up for shock Man Utd job' as part of huge shake-up,https://www.thesun.co.uk/sport/24761629/man-utd-news-jim-ratcliffe-paulo-maldini-sporting-director/
DEVIL MAY CARE,Man Utd face losing SEVEN stars worth £70m for free ahead of January window,https://www.thesun.co.uk/sport/24760414/man-utd-martial-lindelof-free-transfer/
CLIFFE HANGER,Ratcliffe 'to be made to wait until MID-JANUARY before takeover is complete',https://www.thesun.co.uk/sport/24754166/sir-jim-ratcliffe-wait-man-utd-transfer/
BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
HE DOZEN DO MUCH,12 Prem stars earning a fortune warming bench including Man Utd flop,https://www.thesun.co.uk/sport/24755916/premier-league-man-utd-arsenal-expensive-benchwarmers/
FAB NEWS,Join Fabulous Vegas and get a 100% deposit match bonus and 50 free spins,https://www.thesun.co.uk/sun-bingo/23596453/join-fabulous-vegas-bonus-match-free-spins/
TOP OF THE SLOTS,Best payout slots for UK revealed - and where you can play them,https://www.thesun.co.uk/betting/22472603/top-payout-slots-uk/
DUELZ IN THE CROWN,Sign up to get up to £100 deposit bonus & 100 free spins at Duelz Casino,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
SPEED DEMONS,Premier League's fastest XI revealed as Luton striker blows division away,https://www.thesun.co.uk/sport/24744688/premier-league-fastest-xi-ogbene-neto-gordon/
PEN REFORM,Penalty shootouts could change forever as ex-Arsenal chief plans new rule,https://www.thesun.co.uk/sport/24752929/penalty-shootouts-fifa-david-dein-arsenal-change/
IN A JAM,Cole Palmer reveals 'most annoying thing' about living down south after transfer,https://www.thesun.co.uk/sport/24756326/cole-palmer-chelsea-man-city-traffic/
GUNNER GO,Arsenal face losing THREE stars on free transfers ahead of January window,https://www.thesun.co.uk/sport/24759381/arsenal-jorginho-cedric-soares-mohamed-elneny-transfer/
LLOR AND ORDER,Exiled Hugo Lloris still helping out at Tottenham after snubbing transfer,https://www.thesun.co.uk/sport/24760611/exiled-hugo-lloris-helping-tottenham-transfer/
EURO SNUB,5 of Dream Team's top 10 English players NOT in latest international squad,https://www.thesun.co.uk/sport/football/dream-team/24759929/5-dream-team-top10-english-players-not-in-squad/
NO REGRETS,5 questions Dream Team gaffers should ask themselves before activating a Booster,https://www.thesun.co.uk/sport/football/dream-team/24428969/boosters-strategy-fantasy-football-premier-league-tips-questions/
WELCOME OFFER,Get £30 in free bets for the football this week with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
HAAL IN,Haaland's agent warns Man City to enjoy him while they can before transfer exit,https://www.thesun.co.uk/sport/24755994/haaland-agent-man-city-transfer-real-madrid-psg/
MAN UTD NEWS,"Dalot EXCLUSIVE, Premier League approval 'could DELAY Jim Ratcliffe takeover",https://www.thesun.co.uk/sport/24408842/man-utd-takeover-news-live-dalot-exclusive-jim-ratcliffe/
GUNNERS NEWS,"Mikel Arteta CHARGED by FA, Deschamps slams Gunners for Saliba competition",https://www.thesun.co.uk/sport/24268915/arsenal-news-live-arteta-charged-fa-saliba-chelsea/
TAH VERY MUCH,Newcastle set to battle Prem rivals in race to sign £20m-rated Jonathan Tah,https://www.thesun.co.uk/sport/24745252/newcastle-man-utd-west-ham-jonathan-tah-transfer/
O'REALLY?,Celtic superstar Matt O'Riley wanted by Premier League teams in £10m transfer,https://www.thesun.co.uk/sport/24744705/celtic-man-utd-arsenal-matt-oriley-transfer/
ANDREW DILLON,"Ramsdale & Maguire need to deal with cringey parents, Keane wouldn't have it",https://www.thesun.co.uk/sport/24760572/aaron-ramsdale-harry-maguire-roy-keane/
DAVE KIDD,World-class Sterling is starring for Chelsea - he should be back in England squad,https://www.thesun.co.uk/sport/24725143/raheem-sterling-chelsea-england-squad/
TROY DEENEY,Scrap VAR... best moment of my career would never have happened if it existed,https://www.thesun.co.uk/sport/24700822/troy-deeney-var-column-premier-league/
GEORG-EOUS,Cristiano Ronaldo Wag Georgina Rodriguez flaunts curves in tight white outfit,https://www.thesun.co.uk/sport/24746075/cristiano-ronaldo-wag-georgina-rodriguez-curves-manchester-united/
ELF AND SAFETY,BBC presenter Emma Louise Jones makes blunder dressed up as Christmas elf,https://www.thesun.co.uk/sport/24754598/emma-louise-jones-elf-blunder-football/
TAKING A KNOLL,Ivana Knoll struts around town in see-through dress as fans say 'good lord',https://www.thesun.co.uk/sport/24751931/world-cups-sexiest-fan-ivana-knoll-photos/
